order_id,order_date,required_date,shipped_date,ship_via,freight,ship_name,ship_city,ship_country,product_id,order_unit_price,quantity,discount,product_name,quantity_per_unit,product_unit_price,units_in_stock,units_on_order,reorder_level,discontinued,category_id,category_name,supplier_id,supplier_name,supplier_city,customer_id,supplier_country,customer_name,customer_city,customer_country,employee_id,employee_name,employee_title,employee_hire_date,employee_city,employee_country
10248,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,Reims,France,11,14.0,12,0.0,Queso Cabrales,1 kg pkg.,21.0,22,30,30,0,4,Dairy Products,5,Cooperativa de Quesos 'Las Cabras',Oviedo,VINET,Spain,Vins et alcools Chevalier,Reims,France,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10248,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,Reims,France,42,9.8,10,0.0,Singaporean Hokkien Fried Mee,32 - 1 kg pkgs.,14.0,26,0,0,1,5,Grains/Cereals,20,Leka Trading,Singapore,VINET,Singapore,Vins et alcools Chevalier,Reims,France,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10248,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,Reims,France,72,34.8,5,0.0,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,14,0,0,0,4,Dairy Products,14,Formaggi Fortini s.r.l.,Ravenna,VINET,Italy,Vins et alcools Chevalier,Reims,France,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10823,1998-01-09,1998-02-06,1998-01-13,2,163.97,LILA-Supermercado,Barquisimeto,Venezuela,11,21.0,20,0.1,Queso Cabrales,1 kg pkg.,21.0,22,30,30,0,4,Dairy Products,5,Cooperativa de Quesos 'Las Cabras',Oviedo,LILAS,Spain,LILA-Supermercado,Barquisimeto,Venezuela,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10823,1998-01-09,1998-02-06,1998-01-13,2,163.97,LILA-Supermercado,Barquisimeto,Venezuela,57,19.5,15,0.0,Ravioli Angelo,24 - 250 g pkgs.,19.5,36,0,20,0,5,Grains/Cereals,26,Pasta Buttini s.r.l.,Salerno,LILAS,Italy,LILA-Supermercado,Barquisimeto,Venezuela,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10899,1998-02-20,1998-03-20,1998-02-26,3,1.21,LILA-Supermercado,Barquisimeto,Venezuela,39,18.0,8,0.15,Chartreuse verte,750 cc per bottle,18.0,69,0,5,0,1,Beverages,18,Aux joyeux ecclésiastiques,Paris,LILAS,France,LILA-Supermercado,Barquisimeto,Venezuela,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10823,1998-01-09,1998-02-06,1998-01-13,2,163.97,LILA-Supermercado,Barquisimeto,Venezuela,59,55.0,40,0.1,Raclette Courdavault,5 kg pkg.,55.0,79,0,0,0,4,Dairy Products,28,Gai pâturage,Annecy,LILAS,France,LILA-Supermercado,Barquisimeto,Venezuela,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10823,1998-01-09,1998-02-06,1998-01-13,2,163.97,LILA-Supermercado,Barquisimeto,Venezuela,77,13.0,15,0.1,Original Frankfurter grüne Soße,12 boxes,13.0,32,0,15,0,2,Condiments,12,Plutzer Lebensmittelgroßmärkte AG,Frankfurt,LILAS,Germany,LILA-Supermercado,Barquisimeto,Venezuela,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10378,1996-12-10,1997-01-07,1996-12-19,3,5.44,Folk och fä HB,Bräcke,Sweden,71,17.2,6,0.0,Flotemysost,10 - 500 g pkgs.,21.5,26,0,0,0,4,Dairy Products,15,Norske Meierier,Sandvika,FOLKO,Norway,Folk och fä HB,Bräcke,Sweden,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10812,1998-01-02,1998-01-30,1998-01-12,1,59.78,Reggiani Caseifici,Reggio Emilia,Italy,72,34.8,40,0.1,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,14,0,0,0,4,Dairy Products,14,Formaggi Fortini s.r.l.,Ravenna,REGGC,Italy,Reggiani Caseifici,Reggio Emilia,Italy,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
