order_id,order_date,required_date,shipped_date,product_id,product_name,order_unit_price,quantity,discount,ship_via,freight,ship_name,ship_city,ship_country,shipper_id,shipper_name,category_id,category_name,quantity_per_unit,product_unit_price,units_in_stock,units_on_order,reorder_level,discontinued,supplier_id,supplier_name,supplier_city,supplier_country,customer_id,customer_name,customer_city,customer_country,lat,long,employee_id,employee_name,employee_title,employee_hire_date,employee_city,employee_country
10248,1996-07-04,1996-08-01,1996-07-16,11,Queso Cabrales,14.0,12,0.0,3,32.38,Vins et alcools Chevalier,Reims,France,3,Federal Shipping,4,Dairy Products,1 kg pkg.,21.0,22,30,30,0,5,Cooperativa de Quesos 'Las Cabras',Oviedo,Spain,VINET,Vins et alcools Chevalier,Reims,France,46.227.638,2.213.749,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10869,1998-02-04,1998-03-04,1998-02-09,11,Queso Cabrales,21.0,10,0.0,1,143.28,Seven Seas Imports,London,UK,1,Speedy Express,4,Dairy Products,1 kg pkg.,21.0,22,30,30,0,5,Cooperativa de Quesos 'Las Cabras',Oviedo,Spain,SEVES,Seven Seas Imports,London,UK,55.378.051,-3.435.973,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10823,1998-01-09,1998-02-06,1998-01-13,11,Queso Cabrales,21.0,20,0.1,2,163.97,LILA-Supermercado,Barquisimeto,Venezuela,2,United Package,4,Dairy Products,1 kg pkg.,21.0,22,30,30,0,5,Cooperativa de Quesos 'Las Cabras',Oviedo,Spain,LILAS,LILA-Supermercado,Barquisimeto,Venezuela,642.375,-6.658.973,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
11043,1998-04-22,1998-05-20,1998-04-29,11,Queso Cabrales,21.0,10,0.0,2,8.8,Spécialités du monde,Paris,France,2,United Package,4,Dairy Products,1 kg pkg.,21.0,22,30,30,0,5,Cooperativa de Quesos 'Las Cabras',Oviedo,Spain,SPECD,Spécialités du monde,Paris,France,46.227.638,2.213.749,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10248,1996-07-04,1996-08-01,1996-07-16,42,Singaporean Hokkien Fried Mee,9.8,10,0.0,3,32.38,Vins et alcools Chevalier,Reims,France,3,Federal Shipping,5,Grains/Cereals,32 - 1 kg pkgs.,14.0,26,0,0,1,20,Leka Trading,Singapore,Singapore,VINET,Vins et alcools Chevalier,Reims,France,46.227.638,2.213.749,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10463,1997-03-04,1997-04-01,1997-03-06,42,Singaporean Hokkien Fried Mee,11.2,50,0.0,3,14.78,Suprêmes délices,Charleroi,Belgium,3,Federal Shipping,5,Grains/Cereals,32 - 1 kg pkgs.,14.0,26,0,0,1,20,Leka Trading,Singapore,Singapore,SUPRD,Suprêmes délices,Charleroi,Belgium,50.503.887,4.469.936,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10248,1996-07-04,1996-08-01,1996-07-16,72,Mozzarella di Giovanni,34.8,5,0.0,3,32.38,Vins et alcools Chevalier,Reims,France,3,Federal Shipping,4,Dairy Products,24 - 200 g pkgs.,34.8,14,0,0,0,14,Formaggi Fortini s.r.l.,Ravenna,Italy,VINET,Vins et alcools Chevalier,Reims,France,46.227.638,2.213.749,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10649,1997-08-28,1997-09-25,1997-08-29,72,Mozzarella di Giovanni,34.8,15,0.0,3,6.2,Maison Dewey,Bruxelles,Belgium,3,Federal Shipping,4,Dairy Products,24 - 200 g pkgs.,34.8,14,0,0,0,14,Formaggi Fortini s.r.l.,Ravenna,Italy,MAISD,Maison Dewey,Bruxelles,Belgium,50.503.887,4.469.936,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10269,1996-07-31,1996-08-14,1996-08-09,72,Mozzarella di Giovanni,27.8,20,0.05,1,4.56,White Clover Markets,Seattle,USA,1,Speedy Express,4,Dairy Products,24 - 200 g pkgs.,34.8,14,0,0,0,14,Formaggi Fortini s.r.l.,Ravenna,Italy,WHITC,White Clover Markets,Seattle,USA,3.709.024,-95.712.891,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
10575,1997-06-20,1997-07-04,1997-06-30,72,Mozzarella di Giovanni,34.8,30,0.0,1,127.34,Morgenstern Gesundkost,Leipzig,Germany,1,Speedy Express,4,Dairy Products,24 - 200 g pkgs.,34.8,14,0,0,0,14,Formaggi Fortini s.r.l.,Ravenna,Italy,MORGK,Morgenstern Gesundkost,Leipzig,Germany,51.165.691,10.451.526,5,Buchanan Steven,Sales Manager,1993-10-17,London,UK
